1985025304,1897,-226,-48,-20
1985140748,1738,-194,-45,-20
1985256124,1580,-163,-40,-20
1985371508,1426,-134,-36,-20
1985486896,1274,-109,-33,-20
1985602284,1125,-86,-29,-20
1985717648,980,-66,-25,-20
1985833020,837,-48,-22,-20
1985948408,697,-34,-18,-20
1986063784,559,-21,-14,-20
1986179156,425,-12,-11,-20
1986294544,293,-5,-7,-20
1986409956,164,-1,-3,-20
1986525356,38,0,0,-20
1986640700,-84,-1,3,-20
1986756104,-205,-5,7,-20
1986871492,-322,-12,11,-20
1986986832,-437,-21,14,-20
1987102312,-550,-34,18,-20
1987217620,-658,-48,22,-20
1987333012,-765,-66,25,-20
1987448380,-868,-86,29,-20
1987563760,-969,-109,33,-20
1987679172,-1067,-134,36,-20
1987794568,-1162,-163,40,-20
1987909956,-1254,-193,44,-20
1988025504,-1344,-226,48,-20
1973903172,4233,-900,-95,-20
