15157856,-2450,-900,95,251
15273244,-2342,-769,88,359
15388676,-2222,-647,81,479
15504056,-2091,-536,74,610
15619404,-1949,-435,66,752
15734812,-1796,-345,59,905
15850200,-1631,-265,52,1070
15965572,-1455,-195,44,1246
16081004,-1268,-136,37,1433
16196360,-1069,-88,30,1632
16311756,-859,-51,22,1842
16427116,-638,-24,15,2063
16542504,-406,-8,8,2295
16658016,-162,-2,0,2539
16773256,93,-7,-7,2794
16888740,360,-23,-14,3061
17004032,637,-50,-21,3338
17119396,926,-87,-29,3627
17234788,1226,-135,-36,3927
17350244,1538,-194,-43,4239
17465540,1860,-264,-51,4561
17581016,2195,-344,-58,4896
17696336,2540,-434,-65,5241
17811700,2896,-535,-73,5597
17927100,3264,-646,-80,5965
18042464,3643,-768,-87,6344
18158416,4034,-899,-95,6735
18273224,4322,-900,-95,24
18388608,4402,-900,-95,104
18504004,4450,-900,-95,152
395364816,-1915,-508,71,586
395480200,-1793,-448,66,708
395595600,-1662,-389,61,839
395710992,-1525,-333,55,976
395826372,-1380,-280,50,1121
395941752,-1228,-230,44,1273
396057148,-1069,-184,39,1432
396172504,-903,-142,33,1598
396287888,-731,-103,28,1770
396403280,-553,-70,22,1948
396518664,-368,-42,17,2133
396634044,-177,-21,11,2324
396749436,20,-7,6,2521
396864816,223,-2,0,2724
396980208,431,-7,-5,2932
397095576,646,-21,-10,3147
397210980,865,-42,-16,3366
397326428,1091,-70,-21,3592
397441728,1321,-103,-27,3822
397557148,1557,-142,-32,4058
397672544,1797,-184,-38,4298
397787928,2043,-231,-43,4544
397903308,2293,-281,-49,4794
398018692,2549,-334,-54,5050
398134048,2809,-390,-60,5310
398249504,3074,-448,-65,5575
398365312,3335,-508,-71,5836
